site,treatment,date,year,month,depth_m,variable,value
n2,fert,1990-07-19T00:00:00Z,1990,7,6,do_mg_l,3.5
n2,fert,1990-07-19T00:00:00Z,1990,7,6,chl_ug_l,NA
n2,fert,1990-07-19T00:00:00Z,1990,7,6,secchi_m,2.125
n2,fert,1990-07-19T00:00:00Z,1990,7,7,temp_c,4
n2,fert,1990-07-19T00:00:00Z,1990,7,7,cond_u_s,112
n2,fert,1990-07-19T00:00:00Z,1990,7,7,do_mg_l,0.6
n2,fert,1990-07-19T00:00:00Z,1990,7,7,chl_ug_l,NA
n2,fert,1990-07-19T00:00:00Z,1990,7,7,secchi_m,2.125
n2,fert,1990-07-19T00:00:00Z,1990,7,8,temp_c,3.7
n2,fert,1990-07-19T00:00:00Z,1990,7,8,cond_u_s,120
n2,fert,1990-07-19T00:00:00Z,1990,7,8,do_mg_l,0.4
n2,fert,1990-07-19T00:00:00Z,1990,7,8,chl_ug_l,7.52
n2,fert,1990-07-19T00:00:00Z,1990,7,8,secchi_m,2.125
n2,fert,1990-07-19T00:00:00Z,1990,7,9,temp_c,3.5
n2,fert,1990-07-19T00:00:00Z,1990,7,9,cond_u_s,121
n2,fert,1990-07-19T00:00:00Z,1990,7,9,do_mg_l,0.3
n2,fert,1990-07-19T00:00:00Z,1990,7,9,chl_ug_l,NA
n2,fert,1990-07-19T00:00:00Z,1990,7,9,secchi_m,2.125
n2,fert,1990-07-26T00:00:00Z,1990,7,0,temp_c,14.5
n2,fert,1990-07-26T00:00:00Z,1990,7,0,cond_u_s,120
n2,fert,1990-07-26T00:00:00Z,1990,7,0,do_mg_l,11.2
n2,fert,1990-07-26T00:00:00Z,1990,7,0,chl_ug_l,41.41
n2,fert,1990-07-26T00:00:00Z,1990,7,0,secchi_m,1.8
n2,fert,1990-07-26T00:00:00Z,1990,7,0.1,temp_c,14.5
n2,fert,1990-07-26T00:00:00Z,1990,7,0.1,cond_u_s,120
n2,fert,1990-07-26T00:00:00Z,1990,7,0.1,do_mg_l,11.17
n2,fert,1990-07-26T00:00:00Z,1990,7,0.1,chl_ug_l,NA
n2,fert,1990-07-26T00:00:00Z,1990,7,0.1,secchi_m,1.8
n2,fert,1990-07-26T00:00:00Z,1990,7,0.2,temp_c,14.5
n2,fert,1990-07-26T00:00:00Z,1990,7,0.2,cond_u_s,120
n2,fert,1990-07-26T00:00:00Z,1990,7,0.2,do_mg_l,11.14
n2,fert,1990-07-26T00:00:00Z,1990,7,0.2,chl_ug_l,NA
n2,fert,1990-07-26T00:00:00Z,1990,7,0.2,secchi_m,1.8
n2,fert,1990-07-26T00:00:00Z,1990,7,0.5,temp_c,14.5
n2,fert,1990-07-26T00:00:00Z,1990,7,0.5,cond_u_s,120
n2,fert,1990-07-26T00:00:00Z,1990,7,0.5,do_mg_l,11.05
n2,fert,1990-07-26T00:00:00Z,1990,7,0.5,chl_ug_l,NA
n2,fert,1990-07-26T00:00:00Z,1990,7,0.5,secchi_m,1.8
n2,fert,1990-07-26T00:00:00Z,1990,7,1,temp_c,14.5
n2,fert,1990-07-26T00:00:00Z,1990,7,1,cond_u_s,120
n2,fert,1990-07-26T00:00:00Z,1990,7,1,do_mg_l,10.9
n2,fert,1990-07-26T00:00:00Z,1990,7,1,chl_ug_l,20.35
n2,fert,1990-07-26T00:00:00Z,1990,7,1,secchi_m,1.8
n2,fert,1990-07-26T00:00:00Z,1990,7,2,temp_c,14.4
n2,fert,1990-07-26T00:00:00Z,1990,7,2,cond_u_s,120
