site,date,year,month,variable,value
toolik,1994-06-15T00:00:00Z,1994,6,secchi_m,NA
toolik,1994-06-15T00:00:00Z,1994,6,temp_c,2.9733333333333336
toolik,1994-06-20T00:00:00Z,1994,6,chl_ug_l,2.981351
toolik,1994-06-20T00:00:00Z,1994,6,cond_u_s,51.65
toolik,1994-06-20T00:00:00Z,1994,6,do_mg_l,11.026666666666667
toolik,1994-06-20T00:00:00Z,1994,6,secchi_m,4.5
toolik,1994-06-20T00:00:00Z,1994,6,temp_c,3.1466666666666665
toolik,1994-06-29T00:00:00Z,1994,6,chl_ug_l,2.1093835
toolik,1994-06-29T00:00:00Z,1994,6,cond_u_s,52
toolik,1994-06-29T00:00:00Z,1994,6,do_mg_l,10.88
toolik,1994-06-29T00:00:00Z,1994,6,secchi_m,4.4
toolik,1994-06-29T00:00:00Z,1994,6,temp_c,3.93
toolik,1994-07-08T00:00:00Z,1994,7,chl_ug_l,2.3593224999999998
toolik,1994-07-08T00:00:00Z,1994,7,cond_u_s,52.43333333333333
toolik,1994-07-08T00:00:00Z,1994,7,do_mg_l,10.943333333333333
toolik,1994-07-08T00:00:00Z,1994,7,secchi_m,3.8
toolik,1994-07-08T00:00:00Z,1994,7,temp_c,8.733333333333334
toolik,1994-07-18T00:00:00Z,1994,7,chl_ug_l,0.872844
toolik,1994-07-18T00:00:00Z,1994,7,cond_u_s,54.13333333333333
toolik,1994-07-18T00:00:00Z,1994,7,do_mg_l,7.76
toolik,1994-07-18T00:00:00Z,1994,7,secchi_m,4.5
toolik,1994-07-18T00:00:00Z,1994,7,temp_c,15.193333333333333
toolik,1994-07-29T00:00:00Z,1994,7,chl_ug_l,0.5716015
toolik,1994-07-29T00:00:00Z,1994,7,cond_u_s,54.6
toolik,1994-07-29T00:00:00Z,1994,7,do_mg_l,8.326666666666666
toolik,1994-07-29T00:00:00Z,1994,7,secchi_m,5.5
toolik,1994-07-29T00:00:00Z,1994,7,temp_c,14.95
toolik,1994-08-08T00:00:00Z,1994,8,chl_ug_l,1.3210425
toolik,1994-08-08T00:00:00Z,1994,8,cond_u_s,55.96666666666667
toolik,1994-08-08T00:00:00Z,1994,8,do_mg_l,8.626666666666667
toolik,1994-08-08T00:00:00Z,1994,8,secchi_m,5
toolik,1994-08-08T00:00:00Z,1994,8,temp_c,16.34
toolik,1994-08-15T00:00:00Z,1994,8,chl_ug_l,1.32762
toolik,1994-08-15T00:00:00Z,1994,8,cond_u_s,54.5
toolik,1994-08-15T00:00:00Z,1994,8,do_mg_l,8.6466666666666665
toolik,1994-08-15T00:00:00Z,1994,8,secchi_m,4.8
toolik,1994-08-15T00:00:00Z,1994,8,temp_c,13.773333333333333
toolik,1994-08-22T00:00:00Z,1994,8,chl_ug_l,2.1732775
toolik,1994-08-22T00:00:00Z,1994,8,cond_u_s,55.1
toolik,1994-08-22T00:00:00Z,1994,8,do_mg_l,9.1033333333333335
toolik,1994-08-22T00:00:00Z,1994,8,secchi_m,4.1
