site,date,year,month,depth_m,variable,value
toolik,1990-07-03T00:00:00Z,1990,7,2,temp_c,13.6
toolik,1990-07-03T00:00:00Z,1990,7,2,cond_u_s,48
toolik,1990-07-03T00:00:00Z,1990,7,2,do_mg_l,9.2
toolik,1990-07-03T00:00:00Z,1990,7,2,chl_ug_l,NA
toolik,1990-07-03T00:00:00Z,1990,7,2,secchi_m,5.5
toolik,1990-07-03T00:00:00Z,1990,7,3,temp_c,12.65
toolik,1990-07-03T00:00:00Z,1990,7,3,cond_u_s,46
toolik,1990-07-03T00:00:00Z,1990,7,3,do_mg_l,10
toolik,1990-07-03T00:00:00Z,1990,7,3,chl_ug_l,NA
toolik,1990-07-03T00:00:00Z,1990,7,3,secchi_m,5.5
toolik,1990-07-03T00:00:00Z,1990,7,4,temp_c,10.85
toolik,1990-07-03T00:00:00Z,1990,7,4,cond_u_s,42
toolik,1990-07-03T00:00:00Z,1990,7,4,do_mg_l,10.2
toolik,1990-07-03T00:00:00Z,1990,7,4,chl_ug_l,NA
toolik,1990-07-03T00:00:00Z,1990,7,4,secchi_m,5.5
toolik,1990-07-03T00:00:00Z,1990,7,5,temp_c,8.25
toolik,1990-07-03T00:00:00Z,1990,7,5,cond_u_s,41
toolik,1990-07-03T00:00:00Z,1990,7,5,do_mg_l,10.8
toolik,1990-07-03T00:00:00Z,1990,7,5,chl_ug_l,NA
toolik,1990-07-03T00:00:00Z,1990,7,5,secchi_m,5.5
toolik,1990-07-03T00:00:00Z,1990,7,6,temp_c,7.75
toolik,1990-07-03T00:00:00Z,1990,7,6,cond_u_s,41
toolik,1990-07-03T00:00:00Z,1990,7,6,do_mg_l,10.9
toolik,1990-07-03T00:00:00Z,1990,7,6,chl_ug_l,NA
toolik,1990-07-03T00:00:00Z,1990,7,6,secchi_m,5.5
toolik,1990-07-03T00:00:00Z,1990,7,7,temp_c,7.3
toolik,1990-07-03T00:00:00Z,1990,7,7,cond_u_s,40
toolik,1990-07-03T00:00:00Z,1990,7,7,do_mg_l,10.8
toolik,1990-07-03T00:00:00Z,1990,7,7,chl_ug_l,NA
toolik,1990-07-03T00:00:00Z,1990,7,7,secchi_m,5.5
toolik,1990-07-03T00:00:00Z,1990,7,8,temp_c,6.75
toolik,1990-07-03T00:00:00Z,1990,7,8,cond_u_s,40
toolik,1990-07-03T00:00:00Z,1990,7,8,do_mg_l,10.8
toolik,1990-07-03T00:00:00Z,1990,7,8,chl_ug_l,NA
toolik,1990-07-03T00:00:00Z,1990,7,8,secchi_m,5.5
toolik,1990-07-03T00:00:00Z,1990,7,9,temp_c,6.6
toolik,1990-07-03T00:00:00Z,1990,7,9,cond_u_s,39
toolik,1990-07-03T00:00:00Z,1990,7,9,do_mg_l,10.2
toolik,1990-07-03T00:00:00Z,1990,7,9,chl_ug_l,NA
toolik,1990-07-03T00:00:00Z,1990,7,9,secchi_m,5.5
toolik,1990-07-03T00:00:00Z,1990,7,10,temp_c,6.35
toolik,1990-07-03T00:00:00Z,1990,7,10,cond_u_s,39
toolik,1990-07-03T00:00:00Z,1990,7,10,do_mg_l,10.5
toolik,1990-07-03T00:00:00Z,1990,7,10,chl_ug_l,NA
toolik,1990-07-03T00:00:00Z,1990,7,10,secchi_m,5.5
toolik,1990-07-03T00:00:00Z,1990,7,11,temp_c,6.35
toolik,1990-07-03T00:00:00Z,1990,7,11,cond_u_s,40
toolik,1990-07-03T00:00:00Z,1990,7,11,do_mg_l,10
toolik,1990-07-03T00:00:00Z,1990,7,11,chl_ug_l,NA
toolik,1990-07-03T00:00:00Z,1990,7,11,secchi_m,5.5
toolik,1990-07-03T00:00:00Z,1990,7,12,temp_c,6.2
toolik,1990-07-03T00:00:00Z,1990,7,12,cond_u_s,41
toolik,1990-07-03T00:00:00Z,1990,7,12,do_mg_l,10.5
toolik,1990-07-03T00:00:00Z,1990,7,12,chl_ug_l,NA
toolik,1990-07-03T00:00:00Z,1990,7,12,secchi_m,5.5
toolik,1990-07-03T00:00:00Z,1990,7,13,temp_c,6.15
toolik,1990-07-03T00:00:00Z,1990,7,13,cond_u_s,40
toolik,1990-07-03T00:00:00Z,1990,7,13,do_mg_l,10.5
toolik,1990-07-03T00:00:00Z,1990,7,13,chl_ug_l,NA
toolik,1990-07-03T00:00:00Z,1990,7,13,secchi_m,5.5
toolik,1990-07-03T00:00:00Z,1990,7,14,temp_c,6.15
toolik,1990-07-03T00:00:00Z,1990,7,14,cond_u_s,40
toolik,1990-07-03T00:00:00Z,1990,7,14,do_mg_l,10.4
toolik,1990-07-03T00:00:00Z,1990,7,14,chl_ug_l,NA
toolik,1990-07-03T00:00:00Z,1990,7,14,secchi_m,5.5
toolik,1990-07-03T00:00:00Z,1990,7,15,temp_c,6
toolik,1990-07-03T00:00:00Z,1990,7,15,cond_u_s,40
toolik,1990-07-03T00:00:00Z,1990,7,15,do_mg_l,10.4
toolik,1990-07-03T00:00:00Z,1990,7,15,chl_ug_l,NA
toolik,1990-07-03T00:00:00Z,1990,7,15,secchi_m,5.5
toolik,1990-07-03T00:00:00Z,1990,7,16,temp_c,5.85
toolik,1990-07-03T00:00:00Z,1990,7,16,cond_u_s,40
toolik,1990-07-03T00:00:00Z,1990,7,16,do_mg_l,10
toolik,1990-07-03T00:00:00Z,1990,7,16,chl_ug_l,NA
